Series,Movie,Critic Review
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is not a film to be written about, it's an experience. It's that rare experience for both adults and kids that shortchanges neither. Go -- and enjoy."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The special effects and technical achievement are the greatest ever. Lucas and company have created an unusual and diverse universe and put it before our eyes.Not once is there a feeling of unnaturalness or fakery.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The film was made with obvious relish by everyone involved, and it guarantees a mindlessly happy two hours to all who take the time to see it."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Proves anew that ticket-buyers young and old in this jaded era will still respond to a strong and simple story about good versus evil with the good guys winning.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas's ingenuity is reaffirmed by Darth Vader's every asthmatic exhalation, by Princess Leia's cinnamon-bun chignons."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If anybody wondered where Lucas has been since the release nearly four years ago of American Graffiti, the answer is at hand. Star Wars... is the most exciting picture to be released this year -- exciting as theater and exciting as cinema."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A gigantic, lavish, brilliantly executive old-time movie comic strip."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"[Star Wars] will undoubtedly emerge as one of the true classics in the genre of science fiction/fantasy films. In any event, it will be thrilling audiences of all ages for a long time to come."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is the best such film since 2001, and in certain respects it is one of the most exciting ever made."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is competently if not brilliantly mounted, moderately exciting and charmingly capable of poking fun at itself... It's a lot less patronising than most Disney films and toweringly better than the other blockbusters around at the moment."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Enormous and exhilarating fun for those who are prepared to settle down in their seats and let it all wash over them.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas's science fiction adventure is an exhilarating update of Flash Gordon, very much in the same half-jokey, half-earnest mood, but backed by special effects that, for once, really work and are intelligently integrated with the story."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Heavy SF readers will recognize each character, every situation by its stock number and almost feel the affection Lucas has for them. There is not the tiniest sniff of cynicism anywhere in this film."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The view of outer space is a marvelous one, awe-inspiring in its beauty, and the artists and designers who did the work... deserve as many plaudits as can be thought up."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A mind-blowing spectacle that sends the audience off onto the wondrously strange world of fantasy and satisfies just about everyone's adolescent craving for a corny old-fashioned adventure movie.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Endlessly imitated but never rivalled, this opening instalment of George Lucas's original space trilogy dresses up the timeless tale of good versus evil with ground-breaking special effects and a dazzling array of intergalactic characters."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Some of Lucas' scriptwriting is clever, a hip updating of the stilted language of the old Flash Gordon serials. Also, the film is dotted with weird-looking creatures who might have stepped out of the pages of a Marvel comic book."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"There's no breather in the picture, no lyricism; the only attempt at beauty is in the double sunset."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas, who made American Graffiti, has put together a sci-fi film that draws on any number of associations. Star Wars is both amazing and familiar."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"All in all, it is an outrageously successful, what will be called a ""classic,"" compilation of nonsense, largely derived but thoroughly reconditioned."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Sci-fi action classic perfect for sharing with older kids.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Star Wars will do very nicely for those lucky enough to be children or unlucky enough never to have grown up.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like it or not, Star Wars is a seminal movie that began a whole cycle of sci-fi works and also launched the careers of many actors and craftsmen."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"First of a sci-fi phenomenon, #4 in the series."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"This friendliness is the key emotion in this clean, clever, entertaining movie by a gifted and developing artist. It's a feeling that crackles in the sensational special effects."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is a sweeping epic with classical themes lifted from the teachings of Joseph Campbell, but it maintains strong central characters."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"After Star Wars, movies not only spawned profitable kids' toys; they merged with kids' toys, and basically became toys themselves."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It has shaped our imaginations, our inner worlds. The series may be over at last, but the Force will be with us always."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A grand and glorious film that may well be the smash hit of 1977, and certainly is the best movie of the year so far."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,On the basic level of simple entertainment it succeeds as well as any film ever has.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"So, is this the best film of all time? Certainly not. But it definitely is one of the most enduring, and it's hard not to be seduced."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A magnificent film. George Lucas set out to make the biggest possible adventure fantasy out of his memories of serials and older action epics, and he succeeded brilliantly."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is enchanting in the most literal sense of the word. It's pure comic strip fantasy, to be enjoyed even more by nostalgic adults than by wide-eyed youngsters."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Easily the best movie in town this summer and perhaps destined to be the best of 1977.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Has distinct limitations, but the current return to a cinema of spectacle and wonder is wholly encouraging."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Puts most recent 'epic' blockbuster mediocrities to shame.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,One of those few films that you can expect to find in almost anyone's collection.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas' trilogy earned its place in eternity not for its mechanical precision, but for its intangible qualities of inspiration and wonder."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,...the key to the movie's success is its creation of a family of characters we can love and believe in.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The movie, modeled after old-fashioned Westerns and Joseph Campbell's writings about mythology, also has a sweet innocence."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The special effects wizardry seen in Star Wars is put in aid of a pure 1930s space opera pulp story . . .
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Those of us who were old enough to catch the film as kids the first time around may even find an unexpected lump in their throats as the nostalgia gates bust wide open and Vader gets his, once again, on that giant, silver screen."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"What's fascinating from a cinematic point of view is the magnificently derivative nature of the film. It's an enormous summary of characters, styles, and plot points that surveys 40 years of film history."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Gloriously directed by George Lucas, this mind-bending space fantasy incorporates Flash Gordon, 2001, Planet of the Apes and 20,000 Leagues Under the Sea and tops them with enough ingenious special effects."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like many people from my generation, Star Wars is not just a favorite film, but an almost spiritual experience from childhood."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It works, because it is now what it was then: a triumph of the imagination."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"I can't deny that this is one of the most important and influential movies ever made, and there is more fun stuff in this film than in most."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"a lot of fun, but not a movie that particularly rewards repeated watchings... once every 20 years or so isn't too often."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is, all in all, hard to think of a place or an age group that would not respond to the enthusiastic inventiveness with which Lucas has enshrined his early loves."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This film was a cultural turning point and continues to be.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Despite being over-hyped, over-marketed, and fairly flawed, Star Wars remains one of the most memorable and glorious fantasies ever made."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"a communal experience, best seen on the big screen with a large group of enthusiastic people"
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"[Star Wars] is the most elaborate, most expensive, most beautiful movie serial ever made."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like some indefatigable King of the Hill, it stands alone and triumphant, regardless of the many imitators that assail its position."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If you want to see the movie that made mild diversion for ten-year-old boys the model of commercial filmmaking, ruling out nuanced characterization and emotions that last longer than 20 seconds, this is where to look."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas fills his screen with loving touches... Seeing the film the first time, I was swept away, and have remained swept ever since."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A dynamic entertainment, efficiently and exuberantly setting up its mythic tale of heroes and villains, rebels and rogues, princesses and monsters, good and evil."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Backgrounds in some sequences are now more populated than they were, and it's fun to see all the creatures that make up the ""wretched hive of scum and villainy"" that Alec Guinness' Obi-Wan Kenobi describes."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The spirit of Buck Rogers lives on as writer-director George Lucas continues to pay homage to that gentleman of the 25th Century in a wow of a sci-fi film.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,George Lucas has made the kind of sci-fi adventure movie you dream about finding.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,That '70s schmaltz is innocent and pure--and seemed better untainted by modernization.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Star Wars remains a cinematic benchmark and a greater fantasy than its countless imitators of the past 20 years.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,It speaks to the child in all of us!
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Watching Star Wars again with full knowledge of all that will happen lends some new meaning.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A classic American tale!
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A grandiose and violent epic with a simple and whimsical heart.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This is the phenomenon that saved 20th Century Fox.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"With its naive romanticism, its simple fable of youthful innocence triumphing over evil, its look back at classic narrative mythology, Star Wars is an exhilarating ride into cinematic fantasy, unlike anything that the cinema has made since."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"There isn't an adventure film to match it in terms of archetypal characters, gripping plot and fantastic film ""world""."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,I was and still am fascinated by the hinted at but never fully developed chemistry between Luke and Princess Leia.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars (1977), (aka Star Wars - Episode IV: A New Hope) is one of the most popular, profitable, entertaining, and successful science fiction/action - adventure films"
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Twenty years later, George Lucas' loved saga of the war between good and evil in a distant galaxy returns in digitally enhanced and augmented form."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A combination of past and future, Western and space odyssey, myth and dream world, Star Wars may be the most enduring piece of escapism ever put on film."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"All in all, this movie is a classic."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The wild ride that helped change the face of modern moviegoing, and is every bit as entertaining today as it was 20 years ago."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A pop-culture landmark!
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,It's easy to see why Star Wars held such an appeal to the kids and adults of the late 1970s.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Compelling backstory, exciting action and pleasantly archetypal characters."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,George Lucas's legendary 1977 science-fiction epic still packs an entertaining punch.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Darth Vader and his James Earl Jones voice is a bad egg no matter how much we know about his screwy upbringing.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A thrilling experience.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is almost as if Lucas took recognizable characters from myth and legend and then emptied them of meaning so as not to distract his audience from his spectacular sets, monsters and special effects."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's all very impressive, though I think I'd probably appreciate it a little more if I hadn't literally grown up on Star Wars and its sequels."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This special edition re-release really drives home the differences between seeing a movie in the theater and seeing it on video.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If it was candy for the eyes and the heart, it was heroin to the central nervous system."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,About the dialogue there's nothing to be said. In fact the dialogue itself can hardly be said: it sticks in the actors' mouths like peanut butter.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is a junkyard of cinematic gimcracks not unlike the Jawas' heap of purloined, discarded, barely functioning droids."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is my contention that the original Star Wars is, on its own, a good film and the best of its series."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"As much as it changed the people who watched movies, however, it changed the people who made movies even more."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,[An] essential part of contemporary culture.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Watching this movie will help you relive your childhood, or help make new memories with your own kids."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,This is a respectable sequel to Star Wars but not as good.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Topping the most successful act in show business history is an impossibility, of course. But that's the challenge facing everyone who worked on ""The Empire Strikes Back."" They have succeeded to an altogether remarkable extent."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best 'Star Wars' film, an exciting and thrilling adventure, but also a sober and complex picture."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Has any movie sequel ever so thoroughly surpassed impossible expectations as The Empire Strikes Back?
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,...an erratically-paced yet consistently entertaining installment in a not-quite-great sci-fi series.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is no bland derivative. It has all the freshness and exuberance of an original. A marvellous space fantasy full of dazzling spectacle, exciting adventure, strange creatures and the mythic clash between good and evil."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is the ultimate in fantasies, a visual wonder and a movie that should be recommended highly if only because it makes you feel good."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Despite a couple of drawbacks, the Empire Strikes Back is an immense amount of fun -- big and splashy and breathtaking in its display of cinematic genius by a huge group of marvelously talented people."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"To answer the big question first: Yes, The Empire Strikes Back is just as enjoyable as Star Wars. In fact, this is one sequel that defies tradition by being better than the original on several counts -- most of them technical, but a few dramatic."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Another richly imaginative, engrossing and spectacular motion picture from the redoubtable George Lucas."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire may not top Star Wars, but it certainly makes one look forward to whatever new surprises George Lucas and his band of cinematic wizards can conjure up for us."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It is technically even more proficient [than Star Wars], has virtually the same ingredients and bursts forth into a world that still seems ripe for its special blend of nostalgically simple story-telling and complicated technology."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It is hard to place one's affections anywhere in a world which is ruled by buttons and dials, computers and bleeps, and people whose conversation is... technical, inaudible or dull."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The younger actors are now more confident.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A spectacular piece of work that carries the new ""Star Wars"" tradition forward."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,See it and prepare to be captivated by the most spellbinding sci-fi film of them all.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Director Irvin Kershner's imaginative supervision of George Lucas's brainchild gives this second part of the first Star Wars trilogy a truly epic dimension, adding a mature, philosophical aspect to the nonstop barrage of brilliant special effects."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It's darker than the original, and perhaps less well structured, but it combines gorgeous visuals and surprisingly deep human emotions."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,It's not up to the original.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best of the original series, but the most intense, too."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Continues to set the standards for sequels to this day...
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"In many ways the new film is a better film than Star Wars, visually more exciting, more artful and meticulous in detail."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Despite ... an unresolved storyline that paves the way for its dismal sequel, Empire remains in many ways the best (indeed the last good) Star Wars film."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A more mature instalment than its predecessor, loaded with spectacular special effects and efficiently written, this may well be the pinnacle of the saga."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is a worthy sequel to Star Wars, equal in both technical mastery and characterization, suffering only from the familiarity with the effects generated in the original and imitated too much by others."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Each section of the film has a stand-out sequence that inspires hyperbole like 'best ever.'
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Irvin Kershner directed the actors this time around, and without the benefit of Lucas's personal affection they seem stiffer, more clenched."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The most imaginative and emotionally connectable ""Star Wars"" film and, with the exception of ""Revenge of the Sith,"" also the darkest."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The second act is very strong, cutting back and forth between Luke training with Yoda and Han, Leia, Chewie and C-3P0 fighting the Empire. And it's paced leisurely enough that you get to know the characters a little bit."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"An extended ricochet from one incendiary set-piece battle to another which still finds time to attend to plot, pace and character."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The best of the films.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Sci-fi cinema at its best.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Everything you loved about A New Hope and more.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The backbone of the Star Wars saga… takes the story and themes of the first film into deeper waters.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"...the deepest, darkest, most mature, and most thoughtful entry in the series."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The Empire Strikes Back is a total delight.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best Star Wars movie, ever!"
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The film spends more time on its characters and unlike the previous film they aren't as busy with all kinds of swashbuckling adventures.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A darker, richer, and more elaborate film than the original."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The most interesting of the series
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,To see The Empire Strikes Back again on the big screen is a real treat and it brings to mind that cliché they don't make 'em like this anymore.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Easily the best of the Star Wars saga, sad but thrilling."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It was incredible to see what is arguably the best of the Star Wars films, on the big screen again."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"In Empire, creator George Lucas' childlike epic ventures into complex territory that gives the story a touch of psychological heft its siblings lack."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It's the best film of the series, and one of the greatest sci-fi flicks ever made."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The total effect is fast and attractive and occasionally amusing. Like a good hot dog, that's something of an achievement in a field where unpalatable junk is the rule."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"By far the best part of the trilogy, Empire is a classic that completely transcends its genre, with a reputation that can only grow and grow."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A Star Wars that has not only lost much of its humor and charm but more important a good deal of its innocence, traveling in the process light years away from the shiny first magnitude of its original world."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"may always be the middle child of the Star Wars Trilogy, but it will always remain the stronges"
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,I found myself glancing at my watch almost as often as I did when I was sitting through a truly terrible movie called The Island.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,A superior motion picture!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It is a visual extravaganza from beginning to end, one of the most visionary and inventive of all films."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"For many Star Wars fans, this second installment is the best of the George Lucas trilogy: a dark, ultimately melancholy, even philosophical episode that has no triumphant happy ending."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Star Wars made my eyes pop out when I first saw it in 1977!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,It's impossible to imagine a person leaving the theatre feeling like he didn't get his money's worth.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,A dramatic illustration of the continued technical brilliance and leadership of the Lucas production team.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"This 1980 sequel is a stronger film with cooler effects, more action, a better storyline and superior wisecracks."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Bigger, better, faster, wiser and funnier than its predecessor!"
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"I think I can recite most of the dialogue from The Empire Strikes Back -- I mean, even R2's clicks and beeps. Isn't that sad?"
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It balances bloodshed with charm, spectacle with childlike glee. It's a near flawless movie of its kind."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Nothing in the Star Wars canon betters this.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is everything most Star Wars fans hoped it would be -- a colorful, exciting, witty and adventuresome continuation of the saga of Luke Skywalker."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The finest and most mature of the three.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The script again is imaginative and full of laughs. Poor Chewy remains the brunt of the many of the jokes.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"In the glory days of science fiction, critics wrote about the 'sense of wonder.' That's what The Empire Strikes Back creates in us"
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Genuinely powerful!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Loaded with perfectly timed comic relief and full of rich characters!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"I've always found Empire to be the Hamlet of science fiction, basically because nothing good happens to the hero in the entire story."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The most classic in its style, design and narrative."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The balance between action and mysticism in Empire provides fascinating energy.
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The greatest episode of the Star Wars Trilogy!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,It is still one of the better sequels Hollywood has ever produced!
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Great follow-up to the original tale of a galaxy far, far away, this film has plenty of action, one-liners, special-effects, good vs evil rivalries and a pleasantly dark ending."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Scattered and less focused, the second of the Star Wars trilogy to be re-released in the Special Edition format remains a deep pleasure to behold."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is a technological triumph, a cornucopia of intergalactic tchotchkes."
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Technical virtuosity and entertainment ingenuity.
